id,devid,period,rstart,rstop,status,biconnected,top,tenure,colaborators,knum,aknum,clus_sq,clus_dot,clus_red,degree,contributions,dcentrality,betweenness,closeness
0,Guido van Rossum,1,0,1,0,1,1,1,2,2,2,0.5578947368421052,0.02353519508638593,0.0011876351495187837,423,96480,1.0,1.0,1.0
1,Sjoerd Mullender,1,0,1,0,1,1,0,1,2,2,1.0,0.01405152224824356,0.33333333333333337,10,3300,0.02364066193853428,0.018645576628706046,0.018645576628706046
2,Jack Jansen,1,0,1,0,1,1,0,1,2,2,1.0,0.0330188679245283,0.8666666666666667,15,1310,0.035460992907801414,0.005151281578061728,0.005151281578061728
0,Guido van Rossum,2,1,2,0,1,1,2,2,3,3.25,0.664218258132214,0.09787802840434419,0.021835890453998013,339,44688,1.0,1.0,1.0
3,cvs2svn,2,1,2,0,0,0,0,0,1,1,0.0,0.0,0.0,1,6,0.0029498525073746312,0.0,0.0
1,Sjoerd Mullender,2,1,2,0,1,1,1,2,3,3.25,0.9635036496350365,0.11238095238095239,0.6522556390977443,57,7777,0.168141592920354,0.06976579619761518,0.06976579619761518
2,Jack Jansen,2,1,2,0,1,1,1,2,3,3.25,0.9402985074626866,0.07883040935672514,0.79,25,3312,0.07374631268436578,0.015561064815531201,0.015561064815531201
4,Barry Warsaw,3,2,3,0,0,0,0,0,1,1,0.0,0.0,0.0,2,1849,0.0037243947858473,6.503345971502337e-06,6.503345971502337e-06
0,Guido van Rossum,3,2,3,0,1,1,3,2,2,2,0.49193548387096775,0.02937874754644941,0.0016954334472886962,537,99534,1.0,1.0,1.0
3,cvs2svn,3,2,3,0,0,0,1,0,1,1,0.0,0.0,0.0,1,12,0.00186219739292365,0.0,0.0
1,Sjoerd Mullender,3,2,3,0,1,1,2,1,2,2,1.0,0.03339517625231911,0.8052631578947368,20,966,0.037243947858472994,0.0077097166492160205,0.0077097166492160205
2,Jack Jansen,3,2,3,0,1,1,2,1,2,2,1.0,0.025362318840579712,0.22413793103448276,29,3902,0.054003724394785846,0.053753406127452566,0.053753406127452566
4,Barry Warsaw,4,3,4,0,0,0,1,0,1,1,0.0,0.0,0.0,2,2298,0.003241491085899514,3.9219893441183595e-06,3.9219893441183595e-06
0,Guido van Rossum,4,3,4,0,1,1,4,2,3,3.272727272727273,0.8586171310629515,0.11499864617883977,0.056726094003241495,617,137359,1.0,1.0,1.0
3,cvs2svn,4,3,4,0,0,0,2,0,1,1,0.0,0.0,0.0,1,21,0.001620745542949757,0.0,0.0
1,Sjoerd Mullender,4,3,4,0,1,1,3,2,3,3.272727272727273,0.9550173010380623,0.03385243171219187,0.36036036036036034,37,3339,0.059967585089141004,0.04269977186745156,0.04269977186745156
2,Jack Jansen,4,3,4,0,1,1,3,2,3,3.272727272727273,0.987275935729544,0.11404095130875316,0.27714121278710824,277,82940,0.4489465153970827,0.38150790661962997,0.38150790661962997
4,Barry Warsaw,5,4,5,0,1,1,2,3,3,3.0,0.9291338582677166,0.03201876921769874,0.18309859154929578,72,11610,0.09917355371900827,0.08137024938208878,0.08137024938208878
0,Guido van Rossum,5,4,5,0,1,1,5,5,3,3.0,0.2749665327978581,0.022898009092123833,0.0038871473354231975,726,248003,1.0,1.0,1.0
1,Sjoerd Mullender,5,4,5,0,1,0,4,1,2,2,1.0,0.0027548209366391185,1.0,2,421,0.0027548209366391185,9.319809914981956e-07,9.319809914981956e-07
5,Fred Drake,5,4,5,0,1,0,0,2,2,2,1.0,0.026941512597105144,0.3710359408033827,44,12496,0.0606060606060606,0.03466688988029633,0.03466688988029633
6,Roger E. Masse,5,4,5,0,1,1,0,3,3,3.0,0.8740157480314961,0.020393005687123333,0.16216216216216217,37,13075,0.05096418732782369,0.04400044360419242,0.04400044360419242
2,Jack Jansen,5,4,5,0,1,0,4,2,2,2,1.0,0.008977838082315694,0.0024378352023403218,294,369845,0.40495867768595045,0.49365737269493604,0.49365737269493604
3,cvs2svn,5,4,5,0,0,0,3,0,1,1,0.0,0.0,0.0,1,12,0.0013774104683195593,0.0,0.0
4,Barry Warsaw,6,5,6,0,1,1,3,3,3,3.2637362637362637,0.961081081081081,0.05226267490312434,0.4603047313552526,87,11723,0.10915934755332497,0.0543094962438002,0.0543094962438002
0,Guido van Rossum,6,5,6,0,1,1,6,5,3,3.2637362637362637,0.4429022545347727,0.042791433830104,0.018836339791807218,797,301248,1.0,1.0,1.0
7,Jeremy Hylton,6,5,6,0,1,0,0,1,2,2,1.0,0.002506265664160401,0.3333333333333333,3,785,0.0037641154328732747,0.0019496455708112826,0.0019496455708112826
5,Fred Drake,6,5,6,0,1,1,1,3,3,3.2637362637362637,0.9785960874568469,0.061314594380786396,0.7989720159908624,103,8907,0.12923462986198245,0.03004444414341234,0.03004444414341234
6,Roger E. Masse,6,5,6,1,1,0,1,2,2,2,1.0,0.018199276002119017,0.29914529914529914,27,12322,0.033877038895859475,0.02338255327836936,0.02338255327836936
2,Jack Jansen,6,5,6,0,1,0,5,2,2,2,1.0,0.0050998116760828625,0.0007541478129713423,273,293057,0.34253450439146804,0.45542302833824805,0.45542302833824805
3,cvs2svn,6,5,6,0,0,0,4,0,1,1,0.0,0.0,0.0,1,21,0.0012547051442910915,0.0,0.0
4,Barry Warsaw,7,6,7,0,1,1,4,4,3,3.3,0.8305785123966942,0.030350672819901708,0.2073170731707317,41,13291,0.05899280575539568,0.045878608621177375,0.045878608621177375
0,Guido van Rossum,7,6,7,0,1,1,7,6,3,3.5714285714285716,0.6408745541944487,0.025280257331855984,0.016951050110919907,695,214147,1.0,1.0,1.0
7,Jeremy Hylton,7,6,7,0,1,1,1,3,3,3.3,0.7708333333333334,0.029423007975458663,0.861111111111111,9,420,0.012949640287769782,0.0002179314514587359,0.0002179314514587359
